Year,Genre,Sentence
1996,Novels,"Death is my beat. I make my living from it. I forge my professional reputation on it. I treat it with the passion and precision of an undertakersomber and sympathetic about it when Im with the bereaved, a skilled craftsman with it when Im alone. Ive always thought the secret of dealing with death was to keep it at arms length. Thats the rule. Dont let it breathe in your face. But my rule didnt protect me."
1953,Novels,"On August 27, 1947, a multimillionaire and a bull killed each other in Linares, Spain, and plunged an entire nation into deep mourning. The bulls name was Islero, and he was of the Miura strain. The mans name was Manolete, and he was the essence of everything Spanish. His story is the embodiment of la fiesta brava."
1900,Novels,"He was an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull."
1976,Novels,"In the Cordova Hotel, near the docks of Barcelona, fourteen Marine Corps fighter pilots from the aircraft carrier Forrestal were throwing an obstreperously spirited going away party for Lieutenant Colonel Bull Meecham, the executive officer of their carrier based squadron. The pilots had been drinking most of the day and the party was taking a swift descent toward mayhem."
1986,Novels,"My wound is geography. It is also my anchorage, my port of call."
1995,Novels,"In 1980, a year after my wife leapt to her death from the Silas Pearlman Bridge in Charleston, South Carolina, I moved to Italy to begin life anew, taking our small daughter with me."
2021,Novels,"Ike tried to remember a time when men with badges coming to his door early in the morning brought anything other than heartache and misery, but try as he might nothing came to mind."
1895,Novels,"The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting."
1999,Novels,"The cell held fifteen men. It was ten by twelve and stank of sweat, filth and fear. The only amenity offered was a hole in the center of the concrete floor which served as a toilet."
1978,Novels,"When I finally caught up with Abraham Trahearne, he was drinking beer with an alcoholic bulldog named Fireball Roberts in a ramshackle joint just outside of Sonoma, California, drinking the heart right out of a fine spring afternoon."
1993,Novels,"When the 3:12 through freight to Spokane hit the East Meriweather crossing, the engineer touched his horn and released a long, mournful wail into the wet, snowy air of our second early fall storm in Western Montana. It sounded a hell of a lot like the first note of a Hank Snow ballad."
2020,Novels,"One of the very first bullets comes in through the open window above the toilet where Luca is standing. He doesnt immediately understand that its a bullet at all, and its only luck that it doesnt strike him between the eyes."
1961,Novels,"Until he was four years old, James Henry Trotter had had a happy life. He lived peacefully with his mother and father in a beautiful house beside the sea. There were always plenty of other children for him to play with, and there was the sandy beach for him to run about on, and the ocean to paddle in. It was the perfect life for a small boy."
1988,Novels,"Its a funny thing about mothers and fathers. Even when their own child is the most disgusting little blister you could ever imagine, they still think that he or she is wonderful. Some parents go further. They become so blinded by adoration they manage to convince themselves their child has qualities of genius."
2012,Novels,"The afternoon my parents died, I was out shoplifting with Irene Klauson."
1988,Novels,I was not sorry when my brother died.
2010,Novels,It was the bright yellow tape that finally convinced me my sister was dead.
1991,Novels,"I was never so amazed in my life as when the Sniffer drew his concealed weapon from his case and struck me to the ground, stone dead."
1954,Novels,"Henri found himself looking at the sky again a clear, black crystal dome overhead. It was difficult for the mind to conceive of hundreds of planes shattering that black, crystalline silence! And suddenly, words began tumbling through his head with a joyous sound the offensive was halted...the German collapse had begun."
1992,Novels,"Once again, Cardinal Dominic Trujillo Guzman felt a pang like that of childbirth spear him in the belly, and he doubled over, clutching himself and moaning. As always when this happened, his only thoughts were of the guilt of his life."
1994,Novels,Dr. Iannis had enjoyed a satisfactory day in which none of his patients had died or got any worse.
2008,Novels,"I am not the sort of man who goes to prostitutes. Well, I suppose that every man would say that. People would disbelieve it just because you had to say it. Its a self-defeating statement. If I had any sense Id delete it and start again, but Im thinking, My wifes dead, my daughters in New Zealand, Im in bad health, and Im past caring, and whos paying any attention? And in any case, its true."
2019,Novels,"Because I am a student of literature, I will start my story on the day Charlie died. In other words, Im beginning in the middle. In media res , thats the Latin term...."
2022,Novels,"A long time ago in another country, I nearly killed a man."
1959,Novels,"Charles Swallow was taking a bath, and as was his custom on such occasions, he had undressed before climbing into the tub."
1967,Novels,"Call me, Ishmael."
2004,Novels,"Before hed had cancer hed been bored with life. Since hed taken dying seriously, hed been busy; he was occupied with understanding the disease and training his body to resist it."
1922,Novels,"There is nothing in the world nobler, and lovelier, and more absurd, than a boys lovemaking. And the joyousness of it!"
2022,Novels,You cant drink all day unless you start in the morning.
1986,Novels,"The boy shot Wild Bills horse at dusk, while Bill was off in the bushes to relieve himself."
1995,Novels,My brother Ward was once a famous man.
2009,Novels,"Spooner was born a few minutes previous to daybreak in the historic honeysuckled little town of Milledgeville, Georgia, in a makeshift delivery room put together in the waiting area of the medical offices of Dr. Emil Woods, across the street from and approximately in the crosshairs of a cluster of Confederate artillery pieces guarding the dog-spotted front lawn of the Greene Street Sons of the Confederacy Retirement Home. It was the first Saturday of December 1956, and the old folks home was on fire."
1838,Novels,"There once lived, in a sequestered part of the county of Devonshire, one Mr. Godfrey Nickleby: a worthy gentleman, who, taking it into his head rather late in life that he must get married, and not being young enough or rich enough to aspire to the hand of a lady of fortune, had wedded an old flame out of mere attachment, who in her turn had taken him for the same reason. Thus two people who cannot afford to play cards for money, sometimes sit down to a quiet game for love."
1843,Novels,"Marley was dead, to begin with. There is no doubt whatever about that."
1848,Novels,"Dombey sat in the corner of the darkened room in the great arm-chair by the bedside, and Son lay tucked up warm in a little basket bedstead, carefully disposed on a low settee immediately in front of the fire and close to it, as if his constitution were analogous to that of a muffin, and it was essential to toast him brown while he was very new."
1849,Novels,"Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show."
1859,Novels,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other wayin short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only."
1860,Novels,"My fathers family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip."
1762,Novels,"Come rain or shine, my custom is to go for a stroll in the Palais-Royal every afternoon about five. I am always to be seen there alone, sitting on a seat in the Allee dArgenson, meditating."
1963,Novels,Lily heard the shot at seventeen minutes to one.
1977,Novels,I will be her witness.
1887,Novels,"In the year 1878 I took my degree of Doctor of Medicine of the University of London, and proceeded to Netley to go through the course prescribed for surgeons in the army."
1890,Novels,"Sherlock Holmes took his bottle from the corner of his mantelpiece, and his hypodermic syringe from its neat Morocco case. With his long, white nervous fingers he adjusted the delicate needle and rolled back his left shirt cuff."
1902,Novels,"Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he stayed up all night, was seated at the breakfast table."
1960,Novels,When Bob Munson awoke in his apartment at the Sheraton Park Hotel at seven thirty-one in the morning he had the feeling it would be a bad day.
1938,Novels,Last night I dreamt I went to Manderley again.
1951,Novels,They used to hang men at Four Turnings in the old days. Not any more though.
1954,Novels,"Years later, when she had gone and was no longer part of their lives, the thing they remembered about her was her smile."
1978,Novels,"It was a wild, windy, southwestern spring when the idea of killing Mr. Griffin occurred to them."
1992,Novels,"When news of Gulliver Quicks death first reached the newspapers, there were curious rumors of five women attempting to take equal responsibility."
1809,Novels,"Bred up in luxurious indolence, I was surrounded by friends who seemed to have no business in this world but to save me the trouble of thinking or acting for myself."
1859,Novels,"With a single drop of ink for a mirror, the Egyptian sorcerer undertakes to reveal to any chance comer far-reaching visions of the past. This is what I undertake to do for you, reader."
1866,Novels,"On the first of September, in the memorable year 1832, some one was expected at Transome Court."
1876,Novels,Was she beautiful or not beautiful?
2003,Novels,I think its best that I begin with a legenda mostly true one.
1991,Novels,"ABANDON ALL HOPE YE WHO ENTER HERE is scrawled in blood red lettering on the side of the Chemical Bank near the corner of Eleventh and First and is in print large enough to be seen from the backseat of the cab as it lurches forward in the traffic leaving Wall Street and just as Timothy Price notices the words a bus pulls up, the advertisement for Les Miserables on its side blocking his view, but Price who is with Pierce & Pierce and twenty-six doesnt seem to care because he tells the driver he will give him five dollars to turn up the radio, Be My Baby on WYNN, and the driver, black, not American, does so."
2000,Novels,First I had to get his body into the boat.
1952,Novels,I am an invisible man.
1983,Novels,"The first day I did not think it was funny. I didnt think it was funny the third day either, but I managed to make a little joke about it. The most unfair thing about this whole business, I said, is that I cant even date."
2008,Novels,"The gun jammed on the last shot and the baby stood holding the crib rail, eyes wild, bawling. The man sat down in an upholstered chair and began taking his gun apart to see why it wouldnt fire. The babys crying set him on edge."
2021,Novels,"While in prison, I received a dictionary. It was sent to me with a note. This is the book I would take to a deserted island. Other books were to arrive from my teacher. But as she had known, this one proved of endless use."
1995,Novels,When do the dead die? When they are forgotten. When does a city disappear? When it no longer exists in the memory of those who lived there. And when does love cease? When one begins to love anew. Of this there is no doubt.
1993,Novels,"On the morning the last Lisbon daughter took her turn at suicideit was Mary this time, and sleeping pills, like Theresethe two paramedics arrived at the house knowing exactly where the knife drawer was, and the gas oven, and the beam in the basement from which it is possible to tie a rope."
2002,Novels,"I was born twice: first as a baby girl, on a remarkably smogless Detroit day in January of 1960; and then again, as a teenage boy, in an emergency room near Petoskey, Michigan, in August of 1974."
1994,Novels,There are some men who enter a womans life and screw it up forever.
1999,Novels,"When I was a little girl I used to dress Barbie up without underpants. On the outside, shed look like the perfect lady. Tasteful plastic heels, tailored suit. But underneath, she was naked."
2021,Novels,"Money, Mississippi, looks exactly like it sounds. Named in that persistent Southern tradition of irony and with the attendant tradition of nescience, the name becomes slightly sad, a marker of self-conscious ignorance that might as well be embraced because, lets face it, it isnt going away."
2024,Novels,Those little bastards were hiding out there in the tall grass.
2014,Novels,"That night I dreamed. Someones at the door. I dont want to open it. But I must. A young soldier stands before me, trembling. I nod and he follows me into the tiny room. I light the lamp so I can see him better. Then I sit on the small wooden crate that contains my belongings and wait. He kneels on the floor before me, his body tense as the strings on the shamisen I used to play. The fighting was close today, I say to him. The soldier looks frightenedthey all do. He nods and bows his head. But I have already looked into his eyeseyes that have seen too much. He reaches for me and I flinch. Its a mistake. His eyes flash as the wounded beast within him roars. He hits me, striking at me with all of his pent up rage. Then he rapes me."
1973,Novels,This is what happened.
2011,Novels,"Toulouse, France 1293 They found him in the cloister, lying on his back with ice in his beard. He was half conscious, muttering about a Templar knight, a secret commission from the Pope, and a beautiful woman on a white pony."
2015,Novels,"You will love this man. Do you understand? You will love him, serve him, and obey him in all things. This is your duty to me and to France. Am I clear?"
2017,Novels,"Kitty OKane dreamed of a kind husband and a just life; what she had was haddock water for supper and a dribble of her own blood, seen at close quarters, on the toe of her fathers scuffed boot."
2017,Novels,"Toulouse, France: 1205 God chose Fabricia Berenger during a lightning storm. With one thunderous touch of his finger, he sent her reeling."
2018,Novels,"They call my little Joan the most beautiful woman in all England. Well, every father thinks that about his daughter. That she is special, and prettier. But I never had the opportunity to boast. My name is Edmund of Woodstock and I am the son of a king and the brother of a king and the grandfather of a king."
2021,Novels,The head had been impaled on a railing outside the Royal Courts of Justice in the Strand in the early hours of a cold November morning. There was a fine dusting of frost on the corpses hair and eyelids which gave it a festive touch.
1927,Novels,"The sex instinct, repeated Mr. Talliaferro in his careful cockney, with that smug complacence with which you plead guilty to a characteristic which you privately consider a virtue, is quite strong in me."
1929,Novels,"Through the fence, between the curling flower spaces, I could see them hitting."
1948,Novels,It was just noon that Sunday morning when the sheriff reached the jail with Lucas Beauchamp though the whole town (the whole county too for that matter) had known since the night before that Lucas had killed a white man.
1959,Novels,The jury said Guilty and the Judge said Life but he didnt hear them. He wasnt listening.
2018,Novels,My name is Amber Reynolds. There are three things you should know about me: Im in a coma. My husband doesnt love me anymore. Sometimes I lie.
1924,Novels,Until he was almost ten the name stuck to him. He had literally to fight his way free from it.
1952,Novels,"This March day the vast and brassy sky, always spangled with the silver glint of airplanes, roared and glittered with celestial traffic. Gigantic though they loomed against the white-hot heavens, there was nothing martial about these winged mammoths."
1958,Novels,"Every third woman you passed on Goat Street in Baronof was young, pretty, and pregnant. The men, too, were young, virile, and pregnant with purpose."
1992,Novels,"My mother drowned on the night of May 23rd, my birthday, in the sea at a place called Spaccavento, a few miles from Minturno."
2002,Novels,"One April afternoon, right after lunch, my husband announced that he wanted to leave me. He did it while we were clearing the table; the children were quarreling as usual in the next room, the dog was dreaming, growling beside the radiator. He told me that he was confused, that he was having terrible moments of weariness, of dissatisfaction, perhaps of cowardice."
2012,Novels,"In the spring of 1966, Lila, in a state of great agitation, entrusted to me a metal box that contained eight notebooks. She said that she could no longer keep them at home, she was afraid her husband might read them"
2020,Novels,Two years before leaving home my father said to my mother that I was very ugly.
2001,Novels,My father had a face that could stop a clock.
1742,Novels,It is a trite but true observation that examples work more forcibly on the mind than precepts.
1987,Novels,"Maybe I shouldnt have given the guy who pumped my stomach my phone number, but who cares? My life is over anyway."
2004,Novels,"Suzanne Vale had a problem, and it was the one she least liked thinking about: Shed had a child with someone who forgot to tell her he was gay."
1920,Novels,"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while."
1925,Novels,"In my younger and more vulnerable years my father gave me some advice that Ive been turning over in my mind ever since. Whenever you feel like criticizing any one, he told me, just remember that all the people in this world havent had the advantages that youve had."
1941,Novels,Though I havent ever been on the screen I was brought up in pictures. Rudolph Valentino came to my fifth birthday partyor so I was told.
1987,Novels,"The Whistle Stop Cafe opened up last week, right next door to me at the post office, and owners Idgie Threadgoode and Ruth Jamison said business has been good ever since. Idgie says that for people who know her not to worry about getting poisoned, she is not cooking."
2017,Novels,"There was every possibility that I was dead, and my brain hadnt got the memo. Or maybe it was that I wished I were dead. On reflection, that was more likely."
1953,Novels,The scent and smoke and sweat of a casino are nauseating at three in the morning. Then the soul-erosion produced by high gamblinga compost of greed and fear and nervous tensionbecomes unbearable and the senses awake [sic] and revolt from it.
2009,Novels,"I have a meanness inside of me, real as an organ. Slit me at my belly and it might slide out, meaty and dark, drop on the floor so you could stomp on it. Its the Day blood. Somethings wrong with it. I was never a good little girl, and I got worse after the murders."
2012,Novels,"When I think of my wife, I always think of her head. The shape of it, to begin with. The very first time I saw her, it was the back of the head I saw, and there was something lovely about it, the angles of it. Like a shiny, hard corn kernel or a riverbed fossil. She had what the Victorians would call a finely shaped head. You could imagine the skull quite easily. Id know her head anywhere."
2014,Novels,I didnt stop giving hand jobs because I wasnt good at it. I stopped giving hand jobs because I was the best at it.
1997,Novels,"The old wood cabin sat alone, surrounded by trees and darkness. The shades were drawn, and a dog lay motionless on the front porch. A thin stream of smoke flowed out of the chimney and headed west, across the rural Maryland countryside toward Washington, D.C. Inside, a man sat silently in front of the fireplace, shoving stacks of paper into the hot flames."
1980,Novels,The last camel collapsed at noon.
1989,Novels,The small boys came early to the hanging.
2023,Novels,"Until that day, Sal Clitheroe had never heard her husband scream. After that day, she never heard it again, except in dreams."
1990,Novels,"In the fall of 1960, when I was 16 and my father was for a time not working, my mother met a man named Warren Miller and fell in love with him."
2012,Novels,"First, Ill tell about the robbery our parents committed. Then about the murders, which happened later. The robbery is the more important part, since it served to set my and my sisters lives on the courses they eventually followed. Nothing would make complete sense without that being told first."
1935,Novels,"Although she herself was ill enough to justify being in bed had she been a person weak minded enough to give up, Rose Sayer could see that her brother, the Reverend Samuel Sayer, was far more ill."
1937,Novels,"It was not long after dawn that Captain Hornblower came up on the quarterdeck of the Lydia . Bush, the first lieutenant, was officer of the watch, and touched his hat but did not speak to him; in a voyage which had by now lasted seven months without touching land he had learned something of his captains likes and dislikes. During this first hour of the day the captain was not to be spoken to, nor his train of thought interrupted."
2004,Novels,Each of us has a private Austen.
1963,Novels,"When she was home from her boarding-school I used to see her every day sometimes, because their house was right opposite the Town Hall Annexe. She and her younger sister used to go in and out a lot, often with young men, which of course I didnt like."
1985,Novels,Agony is socially unacceptable. One is not supposed to weep. Particularly is one not supposed to weep when one is moderately presentable and thirty-two. When ones wife has been dead six months and everyone else has done grieving.
1989,Novels,"I inherited my brothers life. Inherited his desk, his business, his gadgets, his enemies, his horses and his mistress. I inherited my brothers life, and it nearly killed me."
2001,Novels,The madness of an autumn prairie cold front coming through. You could feel it: something terrible was going to happen.
2010,Novels,"Sometimes when people asked Eileen Holland if she had any brothers or sisters, she had to think for a moment."
2021,Novels,"The sky broken by the bare oaks and elms of New Prospect was full of moist promise, a pair of frontal systems grayly colluding to deliver a White Christmas, when Russ Hildebrandt made his morning rounds among the homes of bedridden and senile parishioners in his Plymouth Fury wagon."
1997,Novels,"At the first gesture of morning, flies began stirring. Inmans eyes and the long wound at his neck drew them, and the sound of their wings and the touch of their feet were soon more potent than a handful of roosters in rousing a man to wake."
1977,Novels,Mira was hiding in the ladies room.
2025,Novels,Devon often dreamed of punching her husband in the face. She didnt necessarily want to hurt him. And he often didnt do anything to deserve it. She was just tired of him.
1986,Novels,I held the mescal up to the light and watched the worm slide across the bottom of the bottle.
1991,Novels,"People disappear all the time. Ask any policeman. Better yet, ask a journalist. Disappearances are bread-and-butter to journalists. Young girls run away from home. Young children stray from their parents and are never seen again. Housewives reach the end of their tether and take the grocery money and a taxi to the station. International financiers change their names and vanish into the smoke of imported cigars. Many of the lost will be found, eventually, dead or alive. Disappearances, after all, have explanations. Usually."
1993,Novels,"He was dead. However, his nose throbbed painfully, which he thought odd, in the circumstances."
2021,Novels,"You know that something is coming. Somethinga specific, dire, and awful something will happen. You envision it, you push it away. It rolls slowly, inexorably, back into your mind. You make what preparation you can. Or you think you do, though your bones know the truththere isnt any way to sidestep, accommodate, lessen the impact. It will come, and you will be helpless before it. You know these things. And yet, somehow, you never think it will be today."
2020,Novels,"Where does a mistake begin? Lately Ive found this simple question difficult. Impossible, actually. A mistake has roots in both time and spacea persons reasoning and her whereabouts. Somewhere in the intersection of those two dimensions is the precisely bounded mistakein nautical terms, its coordinates."
2001,Novels,"Shadow had done three years in prison. He was big enough and looked dont-fuck-with-me enough that his biggest problem was killing time. So he kept himself in shape, and thought a lot about how much he loved his wife."
2008,Novels,"There was a hand in the darkness, and it held a knife."
2019,Novels,"Id known Quin for maybe five years when he told me this storyreally not even a story, more like an anecdoteabout a woman hed met on the street. Quin believed that he could perceive a persons most essential nature just by looking at him or her; he also believed that, in the same way, he could know what they would most respond to. He was a little conceited about these supposed special abilities, and that was how the story began."
2021,Novels,"Herein I begin my account, with the help of my neighbor Simon Satler, since I am unable to read or write. I maintain that I am not a witch, never have seen a witch, am a relative to no witches. But from very early in life, I had enemies."
1969,Novels,"At seven oclock, the morning of the 26th of December, the S. S. Poseidon , 81,000 tons, homeward bound for Lisbon, after a month-long Christmas cruise to African and South American ports, suddenly found herself in the midst of an unaccountable swell, 400 miles south-west of the Azores, and began to roll like a pig."
1906,Novels,The possessive instinct never stands still.
1906,Novels,Those privileged to be present at a family festival of the Forsytes have seen that charming and instructive sightan upper middle-class family in full plumage.
1931,Novels,"The Bishop of Porthminster was sinking fast; they had sent for his four nephews, his two nieces and their one husband. It was not thought that he would last the night."
2023,Novels,I recently sent a letter to a terrorist I used to know.
1967,Novels,"Many years later, as he faced the firing squad, Colonel Aureliano Buendia was to remember that distant afternoon when his father took him to discover ice."
1985,Novels,It was inevitable: the scent of bitter almonds always reminded him of the fate of unrequited love.
2004,Novels,"The year I turned ninety, I wanted to give myself the gift of a night of wild love with an adolescent virgin."
1933,Novels,Autumn sun beat against the window. Perry Mason sat at the big desk. There was about him the attitude of one who is waiting. His face in repose was like the face of a chess player who is studying the board.
1984,Novels,I never tire of looking at myself.
2015,Novels,"Damn woman is always moving his things. He cant kick off his boots in the living room or set his sunglasses down on the coffee table without her relocating them to Where they belong. Who made her God in this house? If he wants to leave a stinking pile of his own shit in the middle of the kitchen table, then thats where it should stay until he moves it. Where the fuck is my gun? Rosie! Joe hollers from the bedroom."
1988,Novels,"It was a solecism of the very worst kind. He sneezed loudly, wetly, and quite unforgivably into the womans face."
1991,Novels,Tina Cogin knew how to make the most of what little she had. She liked to believe it was a natural talent.
1996,Novels,Charlotte Bowen thought she was dead.
2009,Novels,"Joel Campbell, eleven years old at the time, began his descent into murder with a bus ride."
2022,Novels,"By every measure, the operation was a success, but it marked the first time Katrina Leonidivna had ever vomited on her target."
2023,Novels,"Paris, ten days ago. She used to be the golden girl."
1987,Novels,When I was little I would think of ways to kill my daddy.
1984,Novels,"The sky above the port was the color of television, tuned to a dead channel."
2022,Novels,I dont remember my father. At least thats what I tell people when they ask if I do. I was barely three years old when he died.
2013,Novels,"There are a limited number of excuses for a young, intelligent woman of seventeen to be traversing the fog-shrouded streets of London at midnight. A matter of protecting ones life or preventing anothers death are two obvious ones."
1988,Novels,"Looking back, I should have realized something was up as soon as I opened the bedroom door and found my wife asleep on top of the sheets with a strange man curled up like a fetus beside her."
2013,Novels,"There are things we cant undo, but perhaps there is a kind of constructive remorse that could transform regrettable acts into something of service to life."
1954,Novels,The boy with fair hair lowered himself down the last few feet of rock and began to pick his way towards the lagoon.
1973,Novels,"This is my favorite book in all the world, though I have never read it."
1766,Novels,"I was ever of [the] opinion, that the honest man who married and brought up a large family, did more service than he who continued single and only talked of population."
1946,Novels,"The carriage gave another lurch, and Maria Merryweather, Miss Heliotrope, and Wiggins once more fell into each others arms, sighed, gasped, righted themselves, and fixed their attention upon those objects which were for each of them at this trying moment the source of courage and strength."
2020,Novels,When Laura was sixteen she wrote a perfect song.
1982,Novels,"My name is Kinsey Millhone. Im a private investigator, licensed by the state of California. Im thirty-two years old, twice divorced, no kids. The day before yesterday I killed someone and the fact weighs heavily on my mind."
1985,Novels,"After its over, of course, you want to kick yourself for all the things you didnt see at the time."
1992,Novels,"I feel compelled to report that at the moment of death, my entire life did not pass before my eyes in a flash."
1999,Novels,"The Latin term pro bono , as most attorneys will attest, roughly translated means for boneheads and applies to work done without charge."
2004,Novels,"The basic question is this: given human nature, are any of us really capable of change?"
2005,Novels,"When Liza Mellincamp thinks about the last time she ever saw Violet Sullivan, what comes most vividly to mind is the color of Violets silk kimono, a shade of blue that Liza later learned was called cerulean, a word that wasnt even in her vocabulary when she was fourteen years old."
2009,Novels,What fascinates me about life is that now and then the past rises up and declares itself.
1959,Novels,"Granted: I am an inmate of a mental hospital; my keeper is watching me, he never lets me out of his sight."
1934,Novels,"I, Tiberius Claudius Drusus Nero Germanicus This-that-and-the-other (for I shall not trouble you yet with all my titles) who was once, and not so long ago either, known to my friends and relatives and associates as Claudius the Idiot, or That Claudius, or Claudius the Stammerer, or Clau-Clau-Claudius or at best as Poor Uncle Claudius, am now about to write this strange history of my life; starting from my earliest childhood and continuing year by year until I reach the fateful point of change where, some eight years ago, at the age of fifty-one, I suddenly found myself caught in what I may call the golden predicament from which I have never since become disentangled."
2005,Novels,"The week before I left my family and Florida and the rest of my minor life to go to boarding school in Alabama, my mother insisted on throwing me a going-away party. To say that I had low expectations would be to underestimate the matter dramatically."
2012,Novels,"Late in the winter of my seventeenth year, my mother decided I was depressed, presumably because I rarely left the house, spent quite a lot of time in bed, read the same book over and over, ate infrequently, and devoted quite a bit of my abundant free time to thinking about death."
1938,Novels,"Hale knew, before he had been in Brighton three hours, that they meant to murder him."
1940,Novels,Mr. Tench went out to look for his ether cylinder: out into the blazing Mexican sun and the bleaching dust. A few buzzards looked down from the roof with shabby indifference: he wasnt carrion yet.
1949,Novels,One never knows when the blow may fall.
1951,Novels,"A story has no beginning or end: arbitrarily one chooses that moment of experience from which to look back or from which, to look ahead."
1988,Novels,"I am now in my twenty-second year and yet the only birthday which I can clearly distinguish among all the rest is my twelfth, for it was on that damp and misty day in September I met the Captain for the first time."
1984,Novels,The doors of the Royal Shakespeare Theatre emptied another audience into a mean rain that always seemed to know the minute the performance ended.
1986,Novels,"Let me say this: bein an idiot is no box of chocolates. People laugh, lose patience, treat you shabby. Now they say folks is sposed to be kind to the afflicted, but let me tell youit aint always that way. Even so, I got no complaints, cause I reckon I done live a pretty interestin life so to speak."
2007,Novels,I am ninety. Or ninety-three. One or the other.
1976,Novels,"To have a reason to get up in the morning, it is necessary to possess a guiding principle. A belief of some kind. A bumper sticker, if you will."
1997,Novels,There are just two kinds of people in the world: those who will help you and those who wont.
2011,Novels,"In Falls, North Carolina, in 1957, we had just one way of coming out. It was called getting caught."
2003,Novels,"It was 7 minutes after midnight. The dog was lying on the grass in the middle of the lawn in front of Mrs. Shearss house. Its eyes were closed. It looked as if it was running on its side, the way dogs run when they think they are chasing a cat in a dream. But the dog was not running or asleep. The dog was dead."
2013,Novels,"I know that some of you reading this are convinced humans are a myth, but I am here to state that they do actually exist."
2020,Novels,"Nineteen years before she decided to die, Nora Seed sat in the warmth of the small library at Hazeldene School in the town of Bedford."
1978,Novels,"Dec. 10, 1899 Honey Grove, Texas Dear Rob, I just asked Miss Appleton to put us on the same team for the spelling bee. Since were the only two people in the fourth grade who can spell perspicacious, our team is sure to win. Can you come over after school? The gardener is clearing the hollyhock bed so there will be more room to play tag. It was my idea. Bess"
1987,Novels,"Standing in front of his dresser mirror, the young man pointed the revolver at his reflection. He held it there until the waver in his hand had subsided. He closed his eyes, drew in a deep breath, and brought the revolver down."
1998,Novels,"Her memory of that day never lost clarity. Eighteen years later, it was still there, every odor, every word and image, the exact heft of the pistol, each decibel of the explosion detonating again and again in the soft tissue of memory."
2022,Novels,Thorn had just finished tying off his skiff to the dock cleats when the girl appeared in his yard. The girl who would force him to reconsider every moment of the last twenty years.
1929,Novels,"It was a diamond all right, shining in the grass half a dozen feet from the blue brick wall. It was small, not more than a quarter of a carat in weight, and unmounted. I put it in my pocket and began searching the lawn as closely as I could without going at it on all fours."
1929,Novels,I first heard Personville called Poisonville by a red-haired mucker named Hickey Dewey in the Big Ship in Butte. He also called his shirt a shoit.
1930,Novels,"Samuel Spades jaw was long and bony, his chin a jutting v under the more flexible v of his mouth. His nostrils curved back to make another, smaller, v. His yellow-grey eyes were horizontal. The v motif was picked up again by thickish brows rising outward from twin creases above a hooked nose, and his pale brown hair grew downfrom high flat templesin a point on his forehead. He looked rather pleasantly like a blond satan."
1931,Novels,"Green dice rolled across the green table, struck the rim together, and bounced back. One stopped short holding six white spots in two equal rolls uppermost. The other tumbled out to the center of the table and came to a rest with a single spot on top. Ned Beaumont grunted softlyUhn!and the winners cleared the table of money."
1933,Novels,"Her right ankle turned under her and she fell. The wind blowing downhill from the south, whipping the trees beside the road, made a whisper of her exclamation and snatched her scarf away into the darkness. She sat up slowly, palms on the gravel pushing her up, and twisted her body sidewise to release the leg bent beneath her."
1934,Novels,"I was leaning against the bar in a speakeasy on Fifty-second Street, waiting for Nora to finish her Christmas shopping, when a girl got up from the table where she had been sitting with three other people and came over to me. She was small and blonde, and whether you looked at her face or at her body in powder-blue sports clothes the result was satisfactory. Arent you Nick Charles? she asked."
2016,Novels,A stolen passport will only get you so far.
2015,Novels,"If I have learned anything in this long life of mine, it is this: In love we find out who we want to be; in war we find out who we are."
2021,Novels,"Elsa Wolcott had spent years in enforced solitude, reading fictional adventures and imagining other lives. In her lonely bedroom, surrounded by the novels that had become her friends, she sometimes dared to dream of an adventure of her own, but not often. Her family repeatedly told her that it was the illness shed survived in childhood that had transformed her life and left it fragile and solitary, and on good days, she believed it."
2020,Novels,May 2005 Its a Saturday morning and Im midway through my shift at the Winter Park Public Library when I see it. The book I last laid eyes on more than six decades ago. The book I believed had vanished forever. The book that meant everything to me.
2017,Novels,His skin told his history in tattoos and knife scars.
2019,Novels,Everyone was calling it the wedding of the century. I was calling it the worst day of my life.
1988,Novels,"Behavioral Science, the FBI section that deals with serial murder, is on the bottom floor of the Academy building at Quantico, half-buried in the earth. Clarice Starling reached it flushed after a fast walk from Hogans Alley on the firing range. She had grass in her hair and grass stains on her FBI Academy windbreaker from diving to the ground under fire in an arrest problem on the range."
1999,Novels,"Clarice Starlings Mustang boomed up the entrance ramp at the Bureau of Alcohol, Tobacco and Firearms in Massachusetts Avenue, a headquarters rented from the Reverend Sun Myung Moon in the interests of economy."
