author,title,year,opening_line
Amy Jo Burns,Mercury,2024,"Waylon Joseph crouched behind Mercury’s ballfield bleachers on the south end of town, smoking a cigarette and hiding from his wife."
Anna Burns,Little Constructions,2007,There are no differences between men and women. No differences. Except one. Men want to know what sort of gun it is. Women just want the gun.
Anna Burns,Milkman,2018,The day Somebody McSomebody put a gun to my breast and called me a cat and threatened to shoot me was the same day the milkman died.
William S. Burroughs,Naked Lunch,1959,"I can feel the heat closing in, feel them out there making their moves, setting up their devil doll stool pigeons, crooning over my spoon and dropper I throw away at Washington Square Station."
Octavia E. Butler,Kindred,1979,I lost an arm on my last trip home. My left arm.
Samuel Butler,Erewhon,1872,"If the reader will excuse me, I will say nothing of my antecedents, nor of the circumstances that led me to leave my native country; the narrative would be tedious to him and painful to myself."
James M. Cain,The Postman Always Rings Twice,1934,They threw me off the hay truck about noon.
James M. Cain,The Institute,1976,"I first met Hortense Garrett at her home in Wilmington, Delaware on a spring morning last year. I wasn’t calling on her but on her husband, Richard Garrett, the financier, to make a pitch for money—a lot of money, twenty million or so. It was for a project I had in mind, an institute of biography which I hoped he would endow—and, incidentally, name me as director."
Joy Callaway,The Grand Design,2022,I’d been lured to the dining room as prey.
Colleen Cambridge (aka Colleen Gleason),Mastering the Art of French Murder,2023,Paris December 1949 Julia Child had a mayonnaise problem.
Andrea Camilleri,The Terra-Cotta Dog,,"To judge from the entrance the dawn was making, it promised to be a very iffy day—that is, blasts of angry sunlight one minute, fits of freezing rain the next, all of it seasoned with sudden gusts of wind—one of those days when someone who is sensitive to abrupt shifts in weather and suffers them in his blood and brain is likely to change opinion and direction continuously, like those sheets of tin, cut in the shape of banners and roosters, that spin every which way on rooftops with each new puff of wind."
Albert Camus,The Stranger,1942,"Mother died today. Or maybe, yesterday; I can’t be sure."
Isabel Cañas,The Hacienda,2022,"On the morning of the best day of her life, and the worst, Aracely Muñoz flew to Mexico City."
Ethan Canin,For Kings and Planets,1998,"Years later, Orno Tarcher would think of his days in New York as a seduction."
Ethan Canin,A Doubter’s Almanac,2016,"From the kitchen window, Milo Andret watched the bridge over the creek, and when he saw Earl Biettermann’s white Citroën race across the span he hurried out the front door and picked up a short hoe. Biettermann was driving too fast. Reckless was the word for it—but that’s the way he’d always been. Arrogant. Heedless. Lucky to stumble onto the right roads, the right career, the right woman. Lucky even to be alive. For any other driver, the route from the bridge to the cabin would take five minutes: Andret figured it would take Biettermann three."
Truman Capote,In Cold Blood,1966,"The village of Holcomb stands on the high wheat plains of Western Kansas, a lonesome area that other Kansans call “out there.“"
Orson Scott Card,Ender’s Game,2010,"I’ve watched through his eyes, I’ve listened through his ears, and I tell you he’s the one."
H. D. Carlton,Phantom,2025,"March 18, 1944 This will be the third man I’ve whacked today, and I’ve run out of patience for their useless begging."
Caleb Carr,The Alienist,1994,"January 8th, 1919 Theodore is in the ground."
Caleb Carr,The Angel of Darkness,1997,"There’s likely some polished way of starting a story like this, a clever bit of gaming that’d sucker people in surer than the best banco feeler in town. But the truth is that I haven’t got the quick tongue or the slick wit for that kind of game."
Lewis Carroll,Alice’s Adventures in Wonderland,1865,"Alice was beginning to get very tired of sitting by her sister on the riverbank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, “and what is the use of a book,“ thought Alice, “without pictures or conversations?“"
Angela Carter,The Magic Toyshop,1967,"The summer she was fifteen, Melanie discovered she was made of flesh and blood. O, my America, my new found land."
Joyce Cary,Herself Surprised,1941,"The judge, when he sent me to prison, said that I had behaved like a woman without any moral sense."
Cosstanza Casati,Clytemnestra,2023,"Clytemnestra looks down at the steep ravine but can see no traces of dead bodies. She searches for cracked skulls, broken bones, corpses eaten by wild dogs and pecked by vultures, but nothing. There are only a few brave flowers growing between the cracks, their petals white against the darkness of the ravine. She wonders how they manage to grow in such a place of death."
Willa Cather,O Pioneers!,1913,"One January day, thirty years ago, the little town of Hanover, anchored on a Nebraska tableland, was trying not to be blown away."
Willa Cather,My Ántonia,1918,I first heard of Ántonia on what seemed to me an interminable journey across the great midland plain of North America.
Willa Cather,Lucy Gayheart,1935,In Haverford on the Platte the townspeople still talk of Lucy Gayheart.
Miguel de Cervantes,Don Quixote,1605,"In a village of La Mancha, the name of which I have no desire to recall, there lived not so long ago one of those gentlemen who always have a lance in the rack, an ancient buckler, a skinny nag, and a greyhound for the chase."
Michael Chabon,The Mysteries of Pittsburgh,1988,"At the beginning of the summer I had lunch with my father, the gangster, who was in town for the weekend to transact some of his vague business."
Michael Chabon,Wonder Boys,1995,The first real writer I ever knew was a man who did all of his work under the name of August Van Zorn.
Michael Chabon,The Amazing Adventures of Kavalier &amp; Clay,2000,"In later years, holding forth to an interviewer or to an audience of aging fans at a comic book convention, Sam Clay liked to declare, apropos of his and Joe Kavalier's greatest creation, that back when he was a boy, sealed and hog-tied inside the airtight vessel known as Brooklyn, New York, he had been haunted by dreams of Harry Houdini."
Michael Chabon,Telegraph Avenue,2012,"A white boy rode flatfoot on a skateboard, towed along, hand to shoulder, by a black boy pedaling a brakeless fixed-gear bike. Dark August morning, deep in the Flatlands. Hiss of tires. Granular unraveling of skateboard wheels against asphalt. Summertime Berkeley giving off her old-lady smell, nine different styles of jasmine and a squirt of he-cat."
Clare Chambers,Shy Creatures,2024,"In all failed relationships there is a point that passes unnoticed at the time, which can later be identified as the beginning of the decline."
Raymond Chandler,The Big Sleep,1939,"It was about eleven o’clock in the morning, mid October, with the sun not shining and a look of hard wet rain in the clearness of the foothills. I was wearing my powder-blue suit, with dark blue shirt, tie and display handkerchief, black brogues, black wool socks with dark blue clocks on them. I was neat, clean, shaved, and sober, and I didn’t care who knew it. I was everything the well-dressed private detective ought to be. I was calling on four million dollars."
Raymond Chandler,The Lady in the Lake,1943,"The Treloar Building was, and is, on Olive Street, near Sixth, on the west side. The sidewalk in front of it had been built of black and white rubber blocks. They were taking them up now to give to the government, and a hatless pale man with a face like a building superintendent was watching the work and looking as if it was breaking his heart."
Raymond Chandler,The Little Sister,1949,The pebbled glass door panel is lettered in flaked black paint: “Phillip Marlowe...Investigations.“ It is a reasonably shabby door at the end of a reasonably shabby corridor in the sort of building that was new about the year the all-tile bathroom became the basis of civilization.
Raymond Chandler,Trouble is My Business,1950,"Anna Halsey was about two hundred and forty pounds of middle-aged putty-faced woman in a black tailor-made suit. Her eyes were shiny black shoe buttons, her cheeks were soft as suet and about the same color. She was sitting behind a black glass desk that looked like Napoleon's tomb and she was smoking a cigarette in a black holder that was not quite as long as a rolled umbrella. She said: ""I need a man."""
Raymond Chandler,The Long Goodbye,1953,"The first time I laid eyes on Terry Lennox he was drunk in a Rolls-Royce Silver Wraith outside the terrace of The Dancers. The parking lot attendant had brought the car out and he was still holding the door open because Terry Lennox’s left foot was still dangling outside, as if he had forgotten he had one."
Jade Chang,What a Time to Be Alive,2025,"I’ve never been early to anything in my life. But here I was, thirty-six whole minutes early to my best friend’s funeral, with a turkey sub I couldn’t afford nestled in the passenger seat like a baby."
Lan Samantha Chang,"All is Forgotten, Nothing Is Lost",2010,"Miranda Sturgis was an exceptional poet. Among the School’s distinguished faculty, she was the brightest star, and graduate students fought to gain admission to her seminars."
John Cheever,Bullett Park,1967,"Paint me a small railroad station then, ten minutes before dark."
G. K. Chesterton,The Napoleon of Notting Hill,1904,"The human race, to which so many of my readers belong, has been playing at children’s games from the beginning, and will probably do it till the end, which is a nuisance for the few people who grow up."
Lee Child,Killing Floor,1997,"I was arrested in Eno’s diner. At twelve o’clock. I was eating eggs and drinking coffee. A late breakfast, not lunch. I was wet and tired after a long walk in heavy rain. All the way from the highway to the edge of town."
Susan Choi,My Education,2013,"Since arriving the previous week, I’d kept hearing about a notorious person, and now as I entered the packed lecture hall my gaze caught on a highly conspicuous man. That’s him, I declared inwardly, which of course was absurd."
Susan Choi,Trust Exercise,2019,"Neither can drive. David turns sixteen the following March, Sarah the following April. It is early July, neither one within sight of sixteen, and the keys to a car."
Agatha Christie,The Murder of Roger Ackroyd,1926,Mrs. Ferrars died on the night of the 16th-17th September—a Thursday. I was sent for at eight o’clock on the morning of Friday the 17th. There was nothing to be done. She had been dead some hours.
Agatha Christie,The Murder at the Vicarage,1930,"It is difficult to know quite where to begin this story, but I have fixed my choice on a certain Wednesday at luncheon at the Vicarage. The conversation, though in the main irrelevant to the matter in hand, yet contained one or two suggestive incidents which influenced later developments."
Agatha Christie,Unfinished Portrait,,Do you know the feeling you have when you know something quite well and yet for the life of you can’t recollect it?
Agatha Christie,The Moving Finger,1942,"When at last I was taken out of the plaster, and the doctors had pulled me about to their hearts’ content, and nurses had wheedled me into cautiously using my limbs, and I had been nauseated by their practically using baby talk to me, Marcus Kent told me I was to go and live in the country."
Agatha Christie,Endless Night,1967,In my end is my beginning… That’s a quotation I’ve often heard people say. It sounds all right—but what does it really mean?
Agatha Christie,Curtain: Poirot’s Last Case,1975,Who is there who has not felt a sudden startled pang at reliving an old experience or feeling an old emotion? “I have done this before….” Why do those words always move one so profoundly? That was the question I asked myself as I sat in the train watching the flat Essex landscape outside.
Gina Chung,Sea Change,2023,"This morning, Dolores is blue again. She’s signaling her readiness to mate, her eagerness to mount the rocks and corals of her tank and push herself against a male octopus, who will insert his hectocotylus into her mantle cavity and deposit sperm packets inside her until she is ready to lay the eggs."
Tom Clancy,The Cardinal of the Kremlin,1988,"They called him the Archer. It was an honorable title, though his countrymen had cast aside their reflex bows over a century ago, as soon as they had learned about firearms."
Arthur C. Clarke,2001: A Space Odyssey,1968,"The drought had lasted now for ten million years, and the reign of the terrible lizards had long since ended. Here on the Equator, in the continent which would one day be known as Africa, the battle for existence had reached a new climax of ferocity, and the victor was not yet in sight."
James Clavell,Shōgun,1975,"The gale tore at him and he felt its bite deep within and he knew that if they did not make landfall in three days they would all be dead. Too many deaths on this voyage, he thought, I’m Pilot-Major of a dead fleet."
Harlan Coben,Six Years,2013,I sat in the back pew and watched the only woman I would ever love marry another man.
Harlan Coben,Don’t Let Go,2017,Daisy wore a clingy black dress with a neckline so deep it could tutor philosophy.
Harlan Coben,I Will Find You,2023,I am serving the fifth year of a life sentence for murdering my own child. Spoiler alert: I didn’t do it.
J. M. Coetzee,Waiting for the Barbarians,1980,I have never seen anything like it: two little discs of glass suspended in front of his eyes in loops of wire.
J. M. Coetzee,Disgrace,1999,"For a man of his age, fifty-two, divorced, he has, to his mind, solved the problem of sex rather well."
Jon Cohen,The Man in the Window,,"Atlas Malone saw the angel again, this time down by the horse chestnut tree."
Eoin Colfer,Highfire,2020,Vern did not trust humans was the long and short of it. Not a single one.
Jenny Colgan,The Bookshop on the Corner,2016,The problem with good things that happen is that very often they disguise themselves as awful things.
Sara Collins,The Confessions of Frannie Langton,2019,"My trial starts the way my life did: a squall of elbows and shoving and spit. From the prisoners’ hold they take me through the gallery, down the stairs and past the table crawling with barristers and clerks. Around me a river of faces in flood, their mutters rising, blending with the lawyers’ whispers. A noise that hums with all the spite of bees in a bush. Heads turn as I enter. Every eye a skewer."
Suzanne Collins,The Hunger Games,2008,"When I wake up, the other side of the bed is cold."
Suzanne Collins,Catching Fire,2009,"I clasp the flask between my hands even though the warmth from the tea has long since leached into the frozen air. My muscles are clenched tight against the cold. If a pack of wild dogs were to appear at this moment, the odds of scaling a tree before they attacked are not in my favor."
Suzanne Collins,Mockingjay,2010,"I stare down at my shoes, watching as a fine layer of ash settles on the worn leather. This is where the bed I shared with my sister, Prim, stood. Over there was the kitchen table. The bricks of the chimney, which collapsed in a charred heap, provide a point of reference for the rest of the house. How else could I orient myself in this sea of gray?"
Carlo Collodi,The Adventures of Pinocchio,1883,"Centuries ago there lived— “A king!“ my little readers will say immediately. No, children, you are mistaken. Once upon a time there was a piece of wood. It was not an expensive piece of wood. Far from it. Just a common block of firewood, one of those thick, solid logs that are put on the fire in winter to make cold rooms cozy and warm. I do not know how this really happened, yet the fact remains that one fine day this piece of wood found itself in the shop of an old carpenter. His real name was Mastro Antonio, but everyone called him Mastro Cherry, for the tip of his nose was so round and red and shiny that it looked like a ripe cherry. As soon as he saw that piece of wood, Mastro Cherry was filled with joy. Rubbing his hands together happily, he mumbled half to himself: “This has come in the nick of time. I shall use it to make the leg of a table.” He grasped the hatchet quickly to peel off the bark and shape the wood. But as he was about to give it the first blow, he stood still with arm uplifted, for he had heard a wee, little voice say in a beseeching tone: “Please be careful! Do not hit me so hard!”"
Blayney Colmore,Dead Reckoning,2014,"Up in my attic, sorting through a decaying box packed with forty years of personal detritus, is proving more gripping than the tedious job I anticipated. Alice, my exacting wife for most of these forty years, all but pulled out my fingernails to get me to do this."
Blayney Colmore,The Spy and the Priest,2016,"Max Hartman shifted his considerable weight from one cheek to the other in his leather Eames chair. Sitting in that chair, sometimes with his feet on the matching footstool, sometimes flat on the floor, was the only place other than in bed be could be comfortable for more than five minutes at a stretch."
Michael Connelly,The Poet,1996,"Death is my beat. I make my living from it. I forge my professional reputation on it. I treat it with the passion and precision of an undertaker—somber and sympathetic about it when I’m with the bereaved, a skilled craftsman with it when I’m alone. I’ve always thought the secret of dealing with death was to keep it at arm’s length. That’s the rule. Don’t let it breathe in your face. But my rule didn’t protect me."
Barnaby Conrad,La Fiesta Brava,1953,"On August 27, 1947, a multimillionaire and a bull killed each other in Linares, Spain, and plunged an entire nation into deep mourning. The bull’s name was Islero, and he was of the Miura strain. The man’s name was Manolete, and he was the essence of everything Spanish. His story is the embodiment of la fiesta brava."
Joseph Conrad,Lord Jim,1900,"He was an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull."
Pat Conroy,The Great Santini,1976,"In the Cordova Hotel, near the docks of Barcelona, fourteen Marine Corps fighter pilots from the aircraft carrier Forrestal were throwing an obstreperously spirited going away party for Lieutenant Colonel Bull Meecham, the executive officer of their carrier based squadron. The pilots had been drinking most of the day and the party was taking a swift descent toward mayhem."
Pat Conroy,The Prince of Tides,1986,"My wound is geography. It is also my anchorage, my port of call."
Pat Conroy,Beach Music,1995,"In 1980, a year after my wife leapt to her death from the Silas Pearlman Bridge in Charleston, South Carolina, I moved to Italy to begin life anew, taking our small daughter with me."
S. A. Cosby,Razorblade Tears,2021,"Ike tried to remember a time when men with badges coming to his door early in the morning brought anything other than heartache and misery, but try as he might nothing came to mind."
Stephen Crane,The Red Badge of Courage,1895,"The cold passed reluctantly from the earth, and the retiring fogs revealed an army stretched out on the hills, resting."
Wes Craven,Fountain Society,1999,"The cell held fifteen men. It was ten by twelve and stank of sweat, filth and fear. The only amenity offered was a hole in the center of the concrete floor which served as a toilet."
James Crumley,The Last Good Kiss,1978,"When I finally caught up with Abraham Trahearne, he was drinking beer with an alcoholic bulldog named Fireball Roberts in a ramshackle joint just outside of Sonoma, California, drinking the heart right out of a fine spring afternoon."
James Crumley,The Mexican Tree Duck,1993,"When the 3:12 through freight to Spokane hit the East Meriweather crossing, the engineer touched his horn and released a long, mournful wail into the wet, snowy air of our second early fall storm in Western Montana. It sounded a hell of a lot like the first note of a Hank Snow ballad."
Jeanine Cummins,American Dirt,2020,"One of the very first bullets comes in through the open window above the toilet where Luca is standing. He doesn’t immediately understand that it’s a bullet at all, and it’s only luck that it doesn’t strike him between the eyes."
Roald Dahl,James and the Giant Peach,1961,"Until he was four years old, James Henry Trotter had had a happy life. He lived peacefully with his mother and father in a beautiful house beside the sea. There were always plenty of other children for him to play with, and there was the sandy beach for him to run about on, and the ocean to paddle in. It was the perfect life for a small boy."
Roald Dahl,Matilda,1988,"It’s a funny thing about mothers and fathers. Even when their own child is the most disgusting little blister you could ever imagine, they still think that he or she is wonderful. Some parents go further. They become so blinded by adoration they manage to convince themselves their child has qualities of genius."
Emily M. Danforth,The Miseducation of Cameron Post,2012,"The afternoon my parents died, I was out shoplifting with Irene Klauson."
Tsitsi Dangarembga,Nervous Conditions,1988,I was not sorry when my brother died.
Hilary Davidson,The Damage Done,2010,It was the bright yellow tape that finally convinced me my sister was dead.
Robertson Davies,Murther and Walking Spirits,1991,"I was never so amazed in my life as when the Sniffer drew his concealed weapon from his case and struck me to the ground, stone dead."
Simone de Beauvoir,The Mandarins,1954,"Henri found himself looking at the sky again— a clear, black crystal dome overhead. It was difficult for the mind to conceive of hundreds of planes shattering that black, crystalline silence! And suddenly, words began tumbling through his head with a joyous sound— the offensive was halted...the German collapse had begun."
Louis de Bernières,The Troublesome Offspring of Cardinal Guzman,1992,"Once again, Cardinal Dominic Trujillo Guzman felt a pang like that of childbirth spear him in the belly, and he doubled over, clutching himself and moaning. As always when this happened, his only thoughts were of the guilt of his life."
Louis de Bernières,Captain Corelli’s Mandolin,1994,Dr. Iannis had enjoyed a satisfactory day in which none of his patients had died or got any worse.
Louis de Bernières,A Partisan’s Daughter,2008,"I am not the sort of man who goes to prostitutes. Well, I suppose that every man would say that. People would disbelieve it just because you had to say it. It’s a self-defeating statement. If I had any sense I’d delete it and start again, but I’m thinking, “My wife’s dead, my daughter’s in New Zealand, I’m in bad health, and I’m past caring, and who’s paying any attention? And in any case, it’s true.“"
Nina de Gramont,The Last September,2019,"Because I am a student of literature, I will start my story on the day Charlie died. In other words, I’m beginning in the middle. In media res, that’s the Latin term…."
Nina de Gramont,The Christie Affair,2022,"A long time ago in another country, I nearly killed a man."
Peter De Vries,The Tents of Wickedness,1959,"Charles Swallow was taking a bath, and as was his custom on such occasions, he had undressed before climbing into the tub."
Peter De Vries,The Vale of Laughter,1967,"Call me, Ishmael."
Louise Dean,Becoming Strangers,2004,"Before he’d had cancer he’d been bored with life. Since he’d taken dying seriously, he’d been busy; he was occupied with understanding the disease and training his body to resist it."
Margaret Deland,The Vehement Flame,1922,"There is nothing in the world nobler, and lovelier, and more absurd, than a boy’s lovemaking. And the joyousness of it!"
Nelson DeMille,The Maze,2022,You can’t drink all day unless you start in the morning.
Pete Dexter,Deadwood,1986,"The boy shot Wild Bill’s horse at dusk, while Bill was off in the bushes to relieve himself."
Pete Dexter,The Paperboy,1995,My brother Ward was once a famous man.
Pete Dexter,Spooner,2009,"Spooner was born a few minutes previous to daybreak in the historic honeysuckled little town of Milledgeville, Georgia, in a makeshift delivery room put together in the waiting area of the medical offices of Dr. Emil Woods, across the street from and approximately in the crosshairs of a cluster of Confederate artillery pieces guarding the dog-spotted front lawn of the Greene Street Sons of the Confederacy Retirement Home. It was the first Saturday of December 1956, and the old folks home was on fire."
Charles Dickens,Nicholas Nickleby,1838,"There once lived, in a sequestered part of the county of Devonshire, one Mr. Godfrey Nickleby: a worthy gentleman, who, taking it into his head rather late in life that he must get married, and not being young enough or rich enough to aspire to the hand of a lady of fortune, had wedded an old flame out of mere attachment, who in her turn had taken him for the same reason. Thus two people who cannot afford to play cards for money, sometimes sit down to a quiet game for love."
Charles Dickens,A Christmas Carol,1843,"Marley was dead, to begin with. There is no doubt whatever about that."
Charles Dickens,Dombey And Son,1848,"Dombey sat in the corner of the darkened room in the great arm-chair by the bedside, and Son lay tucked up warm in a little basket bedstead, carefully disposed on a low settee immediately in front of the fire and close to it, as if his constitution were analogous to that of a muffin, and it was essential to toast him brown while he was very new."
Charles Dickens,David Copperfield,1849,"Whether I shall turn out to be the hero of my own life, or whether that station will be held by anybody else, these pages must show."
Charles Dickens,A Tale of Two Cities,1859,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way—in short, the period was so far like the present period, that some of its noisiest authorities insisted on its being received, for good or for evil, in the superlative degree of comparison only."
Charles Dickens,Great Expectations,1860,"My father’s family name being Pirrip, and my Christian name Philip, my infant tongue could make of both names nothing longer or more explicit than Pip. So I called myself Pip, and came to be called Pip."
Denis Diderot,Rameau’s Nephew,1762,"Come rain or shine, my custom is to go for a stroll in the Palais-Royal every afternoon about five. I am always to be seen there alone, sitting on a seat in the Allée d’Argenson, meditating."
Joan Didion,Run River,1963,Lily heard the shot at seventeen minutes to one.
Joan Didion,A Book of Common Prayer,1977,I will be her witness.
Arthur Conan Doyle,A Study in Scarlet,1887,"In the year 1878 I took my degree of Doctor of Medicine of the University of London, and proceeded to Netley to go through the course prescribed for surgeons in the army."
Arthur Conan Doyle,The Sign of the Four,1890,"Sherlock Holmes took his bottle from the corner of his mantelpiece, and his hypodermic syringe from its neat Morocco case. With his long, white nervous fingers he adjusted the delicate needle and rolled back his left shirt cuff."
Arthur Conan Doyle,The Hound of the Baskervilles,1902,"Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he stayed up all night, was seated at the breakfast table."
Allen Drury,Advise and Consent,1960,When Bob Munson awoke in his apartment at the Sheraton Park Hotel at seven thirty-one in the morning he had the feeling it would be a bad day.
Daphne du Maurier,Rebecca,1938,Last night I dreamt I went to Manderley again.
Daphne Du Maurier,My Cousin Rachel,1951,They used to hang men at Four Turnings in the old days. Not any more though.
Daphne du Maurier,Mary Ann,1954,"Years later, when she had gone and was no longer part of their lives, the thing they remembered about her was her smile."
Lois Duncan,Killing Mr. Griffin,1978,"It was a wild, windy, southwestern spring when the idea of killing Mr. Griffin occurred to them."
Maureen Earl,Gulliver Quick,1992,"When news of Gulliver Quick’s death first reached the newspapers, there were curious rumors of five women attempting to take equal responsibility."
Maria Edgeworth,Ennui,1809,"Bred up in luxurious indolence, I was surrounded by friends who seemed to have no business in this world but to save me the trouble of thinking or acting for myself."
George Eliot (pen name of Mary Ann Evans),Adam Bede,1859,"With a single drop of ink for a mirror, the Egyptian sorcerer undertakes to reveal to any chance comer far-reaching visions of the past. This is what I undertake to do for you, reader."
George Eliot (pen name of Mary Ann Evans),"Felix Holt, the Radical",1866,"On the first of September, in the memorable year 1832, some one was expected at Transome Court."
George Eliot (pen name of Mary Ann Evans),Middlemarch,,Miss Brooke had that kind of beauty which seems to be thrown into relief by poor dress.
George Eliot (pen name of Mary Ann Evans),Daniel Deronda,1876,Was she beautiful or not beautiful?
Jordan Ellenberg,The Grasshopper King,2003,I think it’s best that I begin with a legend—a mostly true one.
Bret Easton Ellis,American Psycho,1991,"ABANDON ALL HOPE YE WHO ENTER HERE is scrawled in blood red lettering on the side of the Chemical Bank near the corner of Eleventh and First and is in print large enough to be seen from the backseat of the cab as it lurches forward in the traffic leaving Wall Street and just as Timothy Price notices the words a bus pulls up, the advertisement for Les Misérables on its side blocking his view, but Price who is with Pierce & Pierce and twenty-six doesn’t seem to care because he tells the driver he will give him five dollars to turn up the radio, “Be My Baby” on WYNN, and the driver, black, not American, does so."
Rhian Ellis,After Life,2000,First I had to get his body into the boat.
Ralph Ellison,Invisible Man,1952,I am an invisible man.
Nora Ephron,Heartburn,1983,"The first day I did not think it was funny. I didn’t think it was funny the third day either, but I managed to make a little joke about it. “The most unfair thing about this whole business,“ I said, “is that I can’t even date.”"
Louise Erdrich,The Plague of Doves,2008,"The gun jammed on the last shot and the baby stood holding the crib rail, eyes wild, bawling. The man sat down in an upholstered chair and began taking his gun apart to see why it wouldn’t fire. The baby’s crying set him on edge."
Louise Erdrich,The Sentence,2021,"While in prison, I received a dictionary. It was sent to me with a note. This is the book I would take to a deserted island. Other books were to arrive from my teacher. But as she had known, this one proved of endless use."
Laura Esquivel,The Law of Love,1995,When do the dead die? When they are forgotten. When does a city disappear? When it no longer exists in the memory of those who lived there. And when does love cease? When one begins to love anew. Of this there is no doubt.
Jeffrey Eugenides,The Virgin Suicides,1993,"On the morning the last Lisbon daughter took her turn at suicide—it was Mary this time, and sleeping pills, like Therese—the two paramedics arrived at the house knowing exactly where the knife drawer was, and the gas oven, and the beam in the basement from which it is possible to tie a rope."
Jeffrey Eugenides,Middlesex,2002,"I was born twice: first as a baby girl, on a remarkably smogless Detroit day in January of 1960; and then again, as a teenage boy, in an emergency room near Petoskey, Michigan, in August of 1974."
Janet Evanovich,One for the Money,1994,There are some men who enter a woman’s life and screw it up forever.
Janet Evanovich,High Five,1999,"When I was a little girl I used to dress Barbie up without underpants. On the outside, she’d look like the perfect lady. Tasteful plastic heels, tailored suit. But underneath, she was naked."
Percival Everett,The Trees,2021,"Money, Mississippi, looks exactly like it sounds. Named in that persistent Southern tradition of irony and with the attendant tradition of nescience, the name becomes slightly sad, a marker of self-conscious ignorance that might as well be embraced because, let’s face it, it isn’t going away."
Percival Everett,James,2024,Those little bastards were hiding out there in the tall grass.
Laurie Ezpeleta,Buried Mistakes,2014,"That night I dreamed. Someone’s at the door. I don’t want to open it. But I must. A young soldier stands before me, trembling. I nod and he follows me into the tiny room. I light the lamp so I can see him better. Then I sit on the small wooden crate that contains my belongings and wait. He kneels on the floor before me, his body tense as the strings on the shamisen I used to play. “The fighting was close today,” I say to him. The soldier looks frightened—they all do. He nods and bows his head. But I have already looked into his eyes—eyes that have seen too much. He reaches for me and I flinch. It’s a mistake. His eyes flash as the wounded beast within him roars. He hits me, striking at me with all of his pent up rage. Then he rapes me."
Douglas Fairbairn,Shoot,1973,This is what happened.
Colin Falconer,Silk Road,2011,"Toulouse, France 1293 They found him in the cloister, lying on his back with ice in his beard. He was half conscious, muttering about a Templar knight, a secret commission from the Pope, and a beautiful woman on a white pony."
Colin Falconer,Isabella,2015,"“You will love this man. Do you understand? You will love him, serve him, and obey him in all things. This is your duty to me and to France. Am I clear?“"
Colin Falconer,The Unkillable Kitty O’Kane,2017,"Kitty O’Kane dreamed of a kind husband and a just life; what she had was haddock water for supper and a dribble of her own blood, seen at close quarters, on the toe of her father’s scuffed boot."
Colin Falconer,Stigmata,2017,"Toulouse, France: 1205 God chose Fabricia Bérenger during a lightning storm. With one thunderous touch of his finger, he sent her reeling."
Colin Falconer,A Vain and Indecent Woman,2018,"They call my little Joan the most beautiful woman in all England. Well, every father thinks that about his daughter. That she is special, and prettier. But I never had the opportunity to boast. My name is Edmund of Woodstock and I am the son of a king and the brother of a king and the grandfather of a king."
Colin Falconer,Cry Justice,2021,The head had been impaled on a railing outside the Royal Courts of Justice in the Strand in the early hours of a cold November morning. There was a fine dusting of frost on the corpse’s hair and eyelids which gave it a festive touch.
William Faulkner,Mosquitoes,1927,"“The sex instinct,” repeated Mr. Talliaferro in his careful cockney, with that smug complacence with which you plead guilty to a characteristic which you privately consider a virtue, “is quite strong in me.”"
William Faulkner,The Sound and the Fury,1929,"Through the fence, between the curling flower spaces, I could see them hitting."
William Faulkner,Intruder in the Dust,1948,It was just noon that Sunday morning when the sheriff reached the jail with Lucas Beauchamp though the whole town (the whole county too for that matter) had known since the night before that Lucas had killed a white man.
William Faulkner,The Mansion,1959,The jury said “Guilty” and the Judge said “Life” but he didn’t hear them. He wasn’t listening.
Alice Feeney,Sometimes I Lie,2018,My name is Amber Reynolds. There are three things you should know about me:
Edna Ferber,So Big,1924,Until he was almost ten the name stuck to him. He had literally to fight his way free from it.
Edna Ferber,Giant,1952,"This March day the vast and brassy sky, always spangled with the silver glint of airplanes, roared and glittered with celestial traffic. Gigantic though they loomed against the white-hot heavens, there was nothing martial about these winged mammoths."
Edna Ferber,Ice Palace,1958,"Every third woman you passed on Goat Street in Baronof was young, pretty, and pregnant. The men, too, were young, virile, and pregnant with purpose."
Elena Ferrante,Troubling Love,1992,"My mother drowned on the night of May 23rd, my birthday, in the sea at a place called Spaccavento, a few miles from Minturno."
Elena Ferrante,The Days of Abandonment,2002,"One April afternoon, right after lunch, my husband announced that he wanted to leave me. He did it while we were clearing the table; the children were quarreling as usual in the next room, the dog was dreaming, growling beside the radiator. He told me that he was confused, that he was having terrible moments of weariness, of dissatisfaction, perhaps of cowardice."
Elena Ferrante,The Story of a New Name,2012,"In the spring of 1966, Lila, in a state of great agitation, entrusted to me a metal box that contained eight notebooks. She said that she could no longer keep them at home, she was afraid her husband might read them"
